"ITM_SKU_NUM","CHC_CD","CHC_DESC","CHC_CD_DESC","STY_NUM","ITM_STY_DESC","ITM_SCLS_CD","ITM_SCLS_LONG_DESC","ITM_CLS_CD","ITM_CLS_DESC","PROD_CTGY_CD","PROD_CTGY_DESC","SCTR_CD","SCTR_DESC","ITM_SBRND_CD","ITM_SBRND_DESC","SZ1_CD","SZ2_CD","ITM_MSTY_CD","ITM_MSTY_DESC","FABRICFAMILY","PLCYCLE","FORM","COLORFAMILY","SUPPORT","PRIPOIRANGE","NETCONTENT","CONTENTUNIT","COLORMARKETING","COLLECTION","SILHOUETTE","LININGLEVEL","STRUCTURE"
"000000000030185060","0","UNKNOWN","","0","UNKNOWN","0","","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","0","0","0","UNKNOWN","","","","","","","000000000001.000","EA","","","","",""
"000000000022817909","781L","PINK_LIPBALM_WIP_F15 - GENERIC_Mint","Mint","11053388","PINK_LIPBALM_WIP_F15 - GENERIC","1207","LIP GLOSS","40010001","LIP-COLOR","3001","COLOR-PCB","201","PERSONALCARE+BEAUTY","0533","PINK ORIG SEASONAL BODY CARE","0","0","1105338800","PINK_LIPBALM_WIP_F15 - GENERIC","","","","","","N/A","000000000014.000","G","","N/A","","",""
"000000000036737055","A001","92F8289 ANKLE RED/BLACK B_ICG 001 C001 G","ICG 001 C001 GEN NC36 00A1 - -","35090501","92F8289 ANKLE RED/BLACK B","0","","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","6000","INDEPENDENT CLIENT GROUP","12","SHORT","0","UNKNOWN MASTERSTYLE","","","","","","","","","023 STUDIO BOLD CHECK","","","",""
"000000000021622734","0J9D","11076 PINK Campus PU_PS12-213 ROMANTIC F","PS12-213 ROMANTIC FLORAL C002","10847951","11076 PINK Campus PU","9305","DEMI","40200094","DEMI-BRAS","3020","BRAS-INTIMATE APPAREL","203","INTIMATE APPAREL","1611","PINK","34","A","5000000322","PK Campus PU","NYLON BLEND","FASHION","","Floral Small","","","","","PS12-213 C002 BUFF 0J9D","PINK-NONCOLLECT","","PUSH-UP","UNDERWIRE"
"000000000022593794","2KNU","T-Shirt DemiLL Bra Marl_Grape Arbor","Grape Arbor","11017416","T-Shirt DemiLL Bra Marl","9305","DEMI","40200094","DEMI-BRAS","3020","BRAS-INTIMATE APPAREL","203","INTIMATE APPAREL","0670","T SHIRT","32","B","5000004045","MS-T-SHIRT DEMILL","SMOOTH","FASHION","","PURPLE","","","","","Grape Arbor 2KNU","VS-T SHIRT","","LIGHT PUSH/UPLIFT","UNDERWIRE"
"000000000021489372","0DOG","PKBIKINI 12130 Special Lace Back Bikini_","S112 MARIN S112 MARINE BLU C00","10849236","PKBIKINI 12130 Special Lace Back Bikini","1708","STRING BIKINI","40210106","STRING BIKINI-PANTY","3021","PANTIES-INTIMATE APPAREL","203","INTIMATE APPAREL","1611","PINK","LARGE","","5000000119","PK LACEBACK STR BIKINI","COTTON","FASHION","","No Print","","","","","S112 MARINE BLUE C001 0DOG","PINK-LACE BACK","STR BIKINI","",""
"000000000036185733","A004","PRINTED T-SHIRT BRA_ICG 004 C001 GEN NC3","ICG 004 C001 GEN NC36 00A1 - -","35015103","PRINTED T-SHIRT BRA","0","","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","6000","INDEPENDENT CLIENT GROUP","44","D","0","UNKNOWN MASTERSTYLE","","","","","","","","","I9 PATCHWORK PLAID","","","",""
"000000000036460512","A004","82H4325 SPUN RAYON MIXED MESH Dolman_ICG","ICG 004 C001 GEN NC36 00A1 - -","35046962","82H4325 SPUN RAYON MIXED MESH Dolman","0","","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","6000","INDEPENDENT CLIENT GROUP","S","","0","UNKNOWN MASTERSTYLE","","","","","","","","","001 TRUE WHITE","","","",""
"000000000022107217","32P8","CTN FlcLL_Heather Orchid","Heather Orchid","11003862","CTN FlcLL","9306","PERFECT COVERAGE","40200093","PERFECTCOVERAGE-BRAS","3020","BRAS-INTIMATE APPAREL","203","INTIMATE APPAREL","9903","THE MIX","38","B","5000000040","MS-Cotton PC","COTTON","FASHION","","PINK","","","","","Heather Orchid 32P8","VS-COTTON","","LIGHTLY LINED","UNDERWIRE"
"000000000022556493","54A2","VS MINI SKIRT WITH PLEATS SOLID SS_Black","Black 093","11033950","VS MINI SKIRT WITH PLEATS SOLID SS","0688","W EXT CUST BOTTOMS","40700223","W EXT CUST BOTTOMS","3070","WOMENS BOTTOMS","202","APPAREL","2219","VICTORIA'S SECRET","0","","1103395000","VS MINI SKIRT WITH PLEATS SOLID SS","","","","BLACK","","","","","Black 093 54A2","","","",""
"000000000036581078","A008","33121540W LS BTTN SHOULDER MOCK NK CABL_","ICG 008 C001 GEN NC36 00A1 - -","35067877","33121540W LS BTTN SHOULDER MOCK NK CABL","0","","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","6000","INDEPENDENT CLIENT GROUP","1X","","0","UNKNOWN MASTERSTYLE","","","","","","","","","83-TALBOTS IVORY","","","",""
"000000000020168757","52A0","SH236133 132woventops_GENERIC BLACK 01","GENERIC BLACK 01","10813504","SH236133 132woventops","1189","W EXT CUST TOPS","40780005","W EXT CUST TOPS","3078","WOMENS TOPS","202","APPAREL","2219","VICTORIA'S SECRET","XS","","1081350400","SH236133 132woventops","","","","BLACK","","","","","BLACK093","","","",""
"000000000021343639","04BW","SL258505 135 C/S SML TP:1X1 3/4 VBACK_Lu","Lush Plum 2GR","10827716","SL258505 135 C/S SML TP:1X1 3/4 VBACK","1189","W EXT CUST TOPS","40780005","W EXT CUST TOPS","3078","WOMENS TOPS","202","APPAREL","2219","VICTORIA'S SECRET","XS","","1082771600","SL258505 135 C/S SML TP:1X1 3/4 VBACK","","","","PURPLE","","","","","2GR LUSH PLUM","","","",""
"000000000020750041","94M4","BBV PlgPU_79424 starcoordinate C826 Wntr","79424 starcoordinate C826 Wntr","10821590","BBV PlgPU","9501","PLUNGE","40200095","PLUNGE-BRAS","3020","BRAS-INTIMATE APPAREL","203","INTIMATE APPAREL","0222","BODY BY VICTORIA","36","D","5000000009","MS-BBV Shaping PU","SMOOTH","FASHION","","Star","","50-54.99","","","79424StarCoordinateC826 94M4","VS-BBV COLLECT","PUSH UP","PUSH-UP","UNDERWIRE"
"000000000036021568","70S0","86H3006 s/s deep V neck_GENERIC PINK 21","GENERIC PINK 21","35003853","86H3006 s/s deep V neck","0","","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","6000","INDEPENDENT CLIENT GROUP","M","","0","UNKNOWN MASTERSTYLE","","","","PINK","","","","","941 PINK PLUM","","","",""
"000000000023491403","3QH2","165476 STRAPPY SIDE BODYSUIT_F17BK NEIN","F17BK NEIN C001 Nw Indigo 09M1","11104990","165476 STRAPPY SIDE BODYSUIT","0942","W BODYSUIT FIRST LT","40780001","W FIRST LAYER TOP","3078","WOMENS TOPS","202","APPAREL","0134","PINK-PCC","SMALL","","1110499000","165476 STRAPPY SIDE BODYSUIT","CVC","FASHION","","Cal-Berkeley","","","","","F17BK NEINC001 3QH2","PINK-PCC","","",""
"000000000030209130","0","UNKNOWN","","0","UNKNOWN","0","","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","0","0","0","UNKNOWN","Trim-Motif","","","","","","","","","","","",""
"000000000020774438","00A2","Show Off OLL removable push up bra_GENER","GENERIC NO COLOR 37","10829883","Show Off OLL removable push up bra","9501","PLUNGE","40200095","PLUNGE-BRAS","3020","BRAS-INTIMATE APPAREL","203","INTIMATE APPAREL","6003","LZA FLIRTY SEXY","38","DD","5000001037","SHOWOFF PLUREMPUWIREL1","LACE/CROCHET","FASHION","","No Color","","","","","402 NEON SCUBA","LZA-SHOW OFF","","REMOVABLE","UNDERWIRE"
"000000000030101904","0","UNKNOWN","","0","UNKNOWN","0","","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","0","0","0","UNKNOWN","","","","","","","000000000006.500","OZ","","","","",""
"000000000020890168","00A0","SWMSTopHltMiracTankini_PLACEHOLDER ONLY","PLACEHOLDER ONLY","10833075","SWMSTopHltMiracTankini","2533","HALTER SW TOP","40240133","SEPARATE TOP-SW","3024","SWIMWEAR-INTIMATE APPAREL","211","SWIMWEAR","0435","VICTORIA'S SECRET SWIM","0","0","1083307500","SWMSTopHltMiracTankini","","","","No Color","","","","","","","","","WIRELESS"
"000000000020836132","00B1","S1-111417 ULTRASOFT BLISS CHEEKY THONG_7","77609 victoriassctscr C323 Pol","10829991","S1-111417 ULTRASOFT BLISS CHEEKY THONG","9908","THONG","40210107","THONG-PANTY","3021","PANTIES-INTIMATE APPAREL","203","INTIMATE APPAREL","6008","LZA RELAXED SEXY","XL","","5000000899","ULTRASFT THONGNOCOTTON","OTHER","FASHION","","Fonts","","","","","119 NOBLE GREY","LZA-ULTRASOFT","","",""
"000000000021490501","2474","SL_S12_SUN_SCNTPRTBL_PINEAPPLE ORCHID","PINEAPPLE ORCHID","10848397","SL_S12_SUN_SCNTPRTBL","0277","SPBL STARTER DECO","40260148","SPBL STARTER KIT","3026","SCENTPORTABLES","204","HOME","1912","BWH & WB","0","0","1084839700","SL_S12_SUN_SCNTPRTBL","","SEASONAL","","","","$6.00-7.99","000000000000.200","OZ","","","","",""
"000000000023038261","2RT8","DA N&I PlgPU Smooth_Lilac Moon","Lilac Moon","11032914","DA N&I PlgPU Smooth","9501","PLUNGE","40200095","PLUNGE-BRAS","3020","BRAS-INTIMATE APPAREL","203","INTIMATE APPAREL","0114","ANGELS","38","B","5000000030","MS-Dream Angels PU","SMOOTH","FASHION","","GREY","","","","","Lilac Moon 2RT8","VS-DREAM ANGELS","","PUSH-UP","UNDERWIRE"
"000000000036219161","00A1","85P4457 STELLA 4 INSEAM SHORT - WHITE_G","GENERIC NO COLOR 36","35022809","85P4457 STELLA 4 INSEAM SHORT - WHITE","0","","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","6000","INDEPENDENT CLIENT GROUP","08","","0","UNKNOWN MASTERSTYLE","","","","No Color","","","","","001 TRUE WHITE","","","",""
"000000000020029485","0000","FF_2 OZ FF GLOSS CONDITIONER_NO FRAGRANC","NO FRAGRANCE","10016422","FF_2 OZ FF GLOSS CONDITIONER","0131","COND SHINE","40030010","CONDITIONER-HAIR","3003","HAIR-PCB","201","PERSONALCARE+BEAUTY","0606","FREDERIC FEKKAI","0","0","1001642200","FF_2 OZ FF GLOSS CONDITIONER","","PCB CORE","","","","","000000000002.000","OZA","","","","",""
"000000000023536557","30ZX","VrySxy Cheeky Cheekies MODERN STRAPPING_","Coral Rock","11108779","VrySxy Cheeky Cheekies MODERN STRAPPING","2529","CHEEKY","40210110","CHEEKY-PANTY","3021","PANTIES-INTIMATE APPAREL","203","INTIMATE APPAREL","2225","VERY SEXY","SMALL","","5000000018","SLT Cheeky Cheeky","LACE TRIM","FASHION","","RED","","","","","Coral Rock 30ZX","VS-SLT CHEEKY","","",""
"000000000036574315","A002","33121493P LS OPEN CREW NK P/O W PKTS_ICG","ICG 002 C001 GEN NC36 00A1 - -","35070100","33121493P LS OPEN CREW NK P/O W PKTS","0","","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","6000","INDEPENDENT CLIENT GROUP","XL","","0","UNKNOWN MASTERSTYLE","","","","","","","","","06-INDIGO BLUE","","","",""
"000000000020008737","000A","MU_M NS MOISTSILKEYEGEL_NO COLOR","NO COLOR","10004567","MU_M NS MOISTSILKEYEGEL","0507","EYE GEL","40050025","SPECIALTY-FACIALCARE","3005","FACIAL SKIN CARE-PCB","201","PERSONALCARE+BEAUTY","1321","MURAD","0","0","1000456700","MU_M NS MOISTSILKEYEGEL","","Core Active","","","","45-49.99","000000000000.500","OZ","","NON-COLLECTION","","",""
"000000000022208301","1X4U","PK L BTM 112491 CAMPUS PANT_H13 SOBECH C","H13 SOBECH C001 SthBchSun 0DUJ","11022605","PK L BTM 112491 CAMPUS PANT","0676","W FULL LENGTH PANT","40700219","W PANTS","3070","WOMENS BOTTOMS","202","APPAREL","1611","PINK","LARGE","","5000000339","PK L CAMPUS PNT","FLEECE","FASHION","","ORANGE","","","","","H13 SOBECHC001 1X4U","PINK-BANDED","","",""
"000000000021768906","1CT7","10025079-F12P UltraSoft Hipster_12LSTH00","12LSTH005 DottedStripe C031 Wh","10857168","10025079-F12P UltraSoft Hipster","1088","HIPSTER","40210111","HIPSTER-PANTY","3021","PANTIES-INTIMATE APPAREL","203","INTIMATE APPAREL","6008","LZA RELAXED SEXY","XL","","5000000870","UltraSft NOT COTTON HIP","N/A","FASHION","","Stripe Narrow","","","","","H65-GlowFucshiDotStripe","LZA-ULTRASOFT","","",""
"000000000023055995","3CPU","LASER CUT DETAIL CROP_112105 LaserCutout","112105 LaserCutout C002 Pure B","11068064","LASER CUT DETAIL CROP","0686","W CROP LEGGING/TIGHT","40700222","W LEGGING/TIGHT","3070","WOMENS BOTTOMS","202","APPAREL","0465","LOUNGE","LARGE","","1106806400","LASER CUT DETAIL CROP","COTTON POLY","FASHION","","Dot Small","","","","","112105LaserCutoutC002 3CPU","VS-OTHER","","",""
"000000000036699401","A016","20H8336 1MX SOLID FITTED SHIRT_ICG 016 C","ICG 016 C001 ICG NC01 00A1 - -","35069957","20H8336 1MX SOLID FITTED SHIRT","0","","0","UNKNOWN","0","UNKNOWN","0","UNKNOWN","6000","INDEPENDENT CLIENT GROUP","XS","","0","UNKNOWN MASTERSTYLE","","","","No Print","","","","","934 CHARCOAL/JET BLACK","","","",""
"000000000020750868","H100","PK C TOP 9146 V-Neck Better Tee_xablk_wh","xablk_wht Xdye C001 AbBlack 54","10827574","PK C TOP 9146 V-Neck Better Tee","0937","W SHORT SLEEVE TEE FIRST LT","40780001","W FIRST LAYER TOP","3078","WOMENS TOPS","202","APPAREL","0134","PINK-PCC","MED","","1082757400","PK C TOP 9146 V-Neck Better Tee","COTTON SLUB","","","Cross Dye","","","","","ALA Alabama BOMBAY RED HO10","","","",""
"000000000020452532","V514","SG LPJ KEY ITEM SATIN_76138 explodedflor","76138 explodedfloral C441 Metr","10822221","SG LPJ KEY ITEM SATIN","1085","TWO-PIECE LONG PANT","40220121","PAJAMA-LINGERIE","3022","LINGERIE-INTIMATE APPAREL","203","INTIMATE APPAREL","0114","ANGELS","SMALL","","1082222100","SG LPJ KEY ITEM SATIN","SATIN","","","Floral Large","","","","","76138 C441 V514 Metropolis","VS-DREAM ANGELS","","",""
"000000000021361266","0ACA","C Slipper Flannel_82141 smsimpleplkadot","82141 smsimpleplkadot C009 Chi","10839840","C Slipper Flannel","1071","SLIPPERS","40650001","SLIPPERS","3065","INTIMATE ACC","210","ACCESSORIES","9903","THE MIX","LARGE","","5000000104","VS SLP FLANNEL SLIDE","KNIT","FASHION BASIC","","Dot Small","","","","","82141SmSimplePolkadotC009 0ACA","VS-MIX NONCOLEC","","",""
"000000000023089057","98L4","BMBSHL PlgPU Gemini_Ensign M-1978A","Ensign M-1978A","11068485","BMBSHL PlgPU Gemini","9501","PLUNGE","40200095","PLUNGE-BRAS","3020","BRAS-INTIMATE APPAREL","203","INTIMATE APPAREL","2225","VERY SEXY","36","DD","5000000070","MS-Bombshell","AO LACE","FASHION","","BLUE","","","","","Ensign M-1978A 98L4","VS-BOMBSHELL","","+2 CUPS","UNDERWIRE"
"000000000020917499","72U0","HK268278 130PRIVATE LABEL SHOES_GENERIC","GENERIC YELLOW 01","10836326","HK268278 130PRIVATE LABEL SHOES","3986","W EXT CUST SHOES","40960482","W EXT CUST SHOES","3096","WOMENS SHOES","210","ACCESSORIES","2219","VICTORIA'S SECRET","7","","1083632600","HK268278 130PRIVATE LABEL SHOES","","","","YELLOW","","","","","934 ANTQ GOLD","","","",""
"000000000021937858","1SBM","Sexy T Demi smooth_89991 splhlywdanm C32","89991 splhlywdanm C329 VS Whit","11003817","Sexy T Demi smooth","9305","DEMI","40200094","DEMI-BRAS","3020","BRAS-INTIMATE APPAREL","203","INTIMATE APPAREL","9903","THE MIX","32","C","5000000066","MS-Sexy Tee Demi","SMOOTH","","","Animal","","","","","89991splhlywdanmC329 1SBM","VS-SEXY T","","LIGHTLY LINED","UNDERWIRE"
"000000000020858025","92V1","SL264699 135 C/S SML TP:KNTFRNT SLD TUBE","GENERIC ORANGE 02","10832929","SL264699 135 C/S SML TP:KNTFRNT SLD TUBE","1189","W EXT CUST TOPS","40780005","W EXT CUST TOPS","3078","WOMENS TOPS","202","APPAREL","2219","VICTORIA'S SECRET","XS","","1083292900","SL264699 135 C/S SML TP:KNTFRNT SLD TUBE","","","","ORANGE","","","","","B93 ORANGLOW","","","",""
"000000000020158282","72Q0","KR235983 118KNITDRESS BTMRACRBK_GENERIC","GENERIC RED 01","10812826","KR235983 118KNITDRESS BTMRACRBK","1188","W EXT CUST OTHER","40760224","W EXT CUST OTHER","3076","WOMENS OTHER","202","APPAREL","2219","VICTORIA'S SECRET","MED","","1081282600","KR235983 118KNITDRESS BTMRACRBK","","","","RED","","","","","FIESTAREDS48","","","",""
